,Text,X,Y,cluster
488,\A1;45\U+00B0,66,80,49
489,g,200,255,66
490,"0,01",209,255,66
491,\A1;{\fAIGDT|b0|i0;\H1.7500;\ln}\fArial|b0|i0;\H1.7500;11,119,99,15
492,<>,171,95,9
493,<>,166,95,9
494,A-A ( 5 : 1 ),85,137,14
495,<>,82,56,13
496,<>,73,50,13
497,\fArial|b0|i0;\H1.7500;2x Ø<> CT,135,77,17
498,\fArial|b0|i0;\H1.7500;Ø<>,129,82,17
499,<>,108,50,13
500,Z ( 20 : 1 ),30,133,24
501,A3,191,2,27
502,X ( 10 : 1 ),161,116,53
503,{\fArial|b0|i0;E},34,87,67
504,{\fArial|b0|i0;F},34,64,68
505,"-0,1",165,106,53
506,"-0,05",182,106,53
507,"-0,1",166,110,53
508,Y ( 10 : 1 ),27,90,67
509,<>,75,71,49
510,<>,77,60,13
511,5129275,177,6,27
512,Valve Lifter GV12.2,175,11,27
513,-,119,15,26
514,2 : 1,128,15,26
515,1,199,6,27
516,1,201,6,27
517,Component Drawing,175,16,27
518,<>,55,122,62
519,<>,48,103,63
520,<>,30,103,63
521,"\fArial|b0|i0;\H1.7500;Ø<> x7 (\S+0,04^ +0,028;) \fAIGDT|b0|i0;\H1.7500;È",116,96,15
522,<>,87,108,52
523,\fArial|b0|i0;\H1.7500;Ø<>,97,106,52
524,<>,68,79,49
525,HUM,120,10,26
526,11.07.2018,128,10,26
527,B1,132,8,26
528,{\fAIGDT|b0|i0;\H1.7500;\ln}\fArial|b0|i0;\H1.7500;<>,122,115,69
529,1.4021,16,51,3
530,EN 10095,43,51,3
531,Hardened to 48 HRC +2/-0,27,48,3
532,-,27,46,3
533,Rz 16,15,39,3
534,"-0,2",41,42,3
535,"-0,05",41,40,3
536,"+0,2",47,40,3
537,5129275_Rev01.stp,24,19,3
538,acc. to LV123 - 6.2.1.,24,5,3
539,"entfettet, ultraschallgereinigt",-46,20,3
540,separat verpackt,-46,14,3
541,"alle Kanten entgratet,                    gehärtet auf 48 HRC +2/-0",-46,8,3
542,1.4021,-28,46,3
543,EN 10095,29,45,3
544,Hardened to 48 HRC +2/-0,-9,39,3
545,-,-9,35,3
546,Rz 16,-33,24,3
547,"-0,2",18,24,3
548,"-0,05",18,20,3
549,"+0,4",34,20,3
550,not applicable,23,-13,3
551,5129275_Rev01.stp,6,-23,3
552,-,14,-43,3
553,stored separately,-9,-53,4
554,1.4021,-32,49,3
555,EN 10095,29,47,3
556,Hardened to 48 HRC +2/-0,-9,42,3
557,-,-9,37,3
558,Rz 16,-33,27,3
559,"-0,2",18,27,3
560,"-0,05",18,23,3
561,"+0,4",34,23,3
562,not applicable,23,-10,3
563,5129275_Rev01.stp,0,-20,3
564,-,14,-46,3
565,-,-9,-56,4
566,1.4021,-32,36,3
567,EN 10095,29,35,3
568,Hardened to 48 HRC +2/-0,-9,29,3
569,-,-9,25,3
570,Rz 16,-33,14,3
571,"-0,2",18,14,3
572,"-0,05",18,10,3
573,"+0,4",34,10,3
574,not applicable,23,-23,3
575,5129275_Rev01.stp,0,-32,3
576,3865240_Rev03.stp,37,48,3
577,Rz 16,11,35,3
578,"-0,2",62,35,3
579,"-0,05",62,31,3
580,"+0,4",78,31,3
581,stored separately,52,15,3
582,ultrasonically cleaned and degreased,52,8,3
583,mH,62,3,3
584,xvcxv,1,-3,3
585,"-0,05",1,1,3
586,Kantenbruch,-2,-2,3
587,"-0,1",-2,1,3
588,1,0,0,3
589,LKA,-12,2,3
590,24.10.2017,10,2,3
591,HUM,-12,2,3
592,15.11.2017,10,2,3
593,B4,4,-2,3
594,LKA,-12,2,3
595,11.01.2018,10,2,3
596,HUM,-12,2,3
597,11.07.2018,10,2,3
598,B1,8,-2,3
599,Freigabe für A-Sample Bestellung,0,8,3
600,Gerhard Ranegger,15,-1,3
601,Matthias Huschenbett,15,-10,3
602,1.4021,-32,45,3
603,EN 10095,30,43,3
604,Hardened to 48 HRC +2/-0,-8,38,3
605,-,-8,33,3
606,Rz 16,-33,23,3
607,"-0,2",18,23,3
608,"-0,05",18,19,3
609,"+0,2",32,19,3
610,not applicable,23,-14,3
611,5129275_Rev01.stp,1,-24,3
612,tbd,-14,-52,4
613,1.4021,-32,43,3
614,EN 10095,30,42,3
615,Hardened to 48 HRC +2/-0,-8,36,3
616,-,-8,32,3
617,Rz 16,-33,20,3
618,"-0,2",18,21,3
619,"-0,05",18,17,3
620,"+0,2",31,17,3
621,5129275_Rev01.stp,1,-22,3
622,acc. to LV123 - 6.2.1.,-14,-50,4
623,A3,385,7,45
624,5129275,212,117,55
625,Valve Lifter GV12.2,200,129,56
626,-,88,136,14
627,2 : 1,108,136,14
628,1,249,117,51
629,1,252,117,51
630,Component Drawing,200,139,56
631,A3,192,3,27
632,"-0,1",165,105,53
633,"-0,05",182,106,53
634,"-0,1",170,110,53
635,5129275,181,7,27
636,Valve Lifter GV12.2,175,13,27
637,-,120,16,26
638,2 : 1,130,16,26
639,1,200,6,27
640,1,202,6,27
641,Component Drawing,175,18,27
642,HUM,122,11,26
643,11.07.2018,133,11,26
644,B1,132,9,26
645,1.4021,16,52,3
646,EN 10095,46,52,3
647,Hardened to 48 HRC +2/-0,28,49,3
648,-,28,47,3
649,Rz 16,15,41,3
650,"-0,2",41,41,3
651,"-0,05",41,39,3
652,"+0,2",47,39,3
653,5129275_Rev01.stp,32,20,3
654,acc. to LV123 - 6.2.1.,25,6,3
655,Layout1,0,0,3
656,Layout2,0,0,3
657,Model,0,0,3
658,CELLSTYLEMAP,210,148,0
659,\fArial|b1|i0;\H2.0000;Angelehnt an HN810,-134,50,1
660,\fArial|b1|i0;\H2.0000;Losgröße (Stk.),-123,45,1
661,\fArial|b1|i0;\H2.0000;von,-129,42,1
662,\fArial|b1|i0;\H2.0000;bis,-117,41,1
663,\fArial|b1|i0;\H2.0000;Stichprobengröße (Stk.),-98,44,2
664,\fArial|b0|i0;\H2.0000;9,-129,37,1
665,\fArial|b0|i0;\H2.0000;15,-117,37,1
666,\fArial|b0|i0;\H2.0000;Vollprüfung,-98,37,2
667,\fArial|b0|i0;\H2.0000;16,-129,33,1
668,\fArial|b0|i0;\H2.0000;26,-129,29,1
669,\fArial|b0|i0;\H2.0000;51,-129,25,1
670,\fArial|b0|i0;\H2.0000;25,-117,33,1
671,\fArial|b0|i0;\H2.0000;50,-117,29,1
672,\fArial|b0|i0;\H2.0000;90,-117,25,1
673,\fArial|b0|i0;\H2.0000;13,-98,33,2
674,\fArial|b0|i0;\H2.0000;13,-98,29,2
675,\fArial|b0|i0;\H2.0000;13,-98,25,2
676,\fArial|b0|i0;\H2.0000;150,-117,21,1
677,\fArial|b0|i0;\H2.0000;91,-129,21,1
678,\fArial|b0|i0;\H2.0000;13,-98,21,2
679,\fArial|b0|i0;\H2.0000;280,-117,17,1
680,\fArial|b0|i0;\H2.0000;151,-129,17,1
681,\fArial|b0|i0;\H2.0000;50,-98,17,2
682,\fArial|b0|i0;\H2.0000;500,-117,13,1
683,\fArial|b0|i0;\H2.0000;281,-129,13,1
684,\fArial|b0|i0;\H2.0000;50,-98,13,2
685,\fArial|b0|i0;\H2.0000;1200,-117,9,1
686,\fArial|b0|i0;\H2.0000;501,-129,9,1
687,\fArial|b0|i0;\H2.0000;80,-98,9,2
688,\fArial|b0|i0;\H2.0000;3200,-117,5,1
689,\fArial|b0|i0;\H2.0000;1201,-129,5,1
690,\fArial|b0|i0;\H2.0000;125,-98,5,2
691,\fArial|b0|i0;\H2.0000;1000,-117,1,1
692,\fArial|b0|i0;\H2.0000;3201,-129,1,1
693,\fArial|b0|i0;\H2.0000;200,-98,1,2
694,\fArial|b1|i0;\H2.5000;Zu überprüfender Anlieferungszustand:,-84,26,2
695,\fArial|b0|i0;\H2.5000;Reinheitsanforderung:,-84,20,2
696,\fArial|b0|i0;\H2.5000;Verpackungsvorschrift:,-84,14,2
697,"entfettet, ultraschallgereinigt",-47,17,3
698,separat verpackt,-47,11,3
699,\fArial|b0|i0;\H2.5000;Allg. Anforderungen:,-84,8,2
700,"alle Kanten entgratet,",-47,5,3
701,gehärtet auf 48 HRC +2/-0,-47,1,3
702,\fArial|b0|i0;\H2.0000;All dimensions apply to the finished part including surface/material treatment.,-44,54,3
703,\fArial|b0|i0;\H2.0000;Surface texture:,-44,31,3
704,\fArial|b0|i0;\H1.4986;valid for machined surface,-44,11,3
705,\fArial|b0|i0;\H1.4986;valid for machined surface,15,11,3
706,\fArial|b0|i0;\H2.0000;Edge finish:,7,31,3
707,\fArial|b0|i0;1,-33,-24,3
708,\fArial|b0|i0;\H2.0000;unless otherwise specified within the drawing,-27,-27,3
709,\fArial|b0|i0;\H2.0000;Nominal geometry (theoretically exact) defined by CAD file:,-44,-16,3
710,1302\H1.25429x; \H0.79726x;\PLimits according to:                                                     \H0.5x; \H2x; ISO 286-2\H1.25429x; \H0.79726x;\P\H1.23656x; \H0.8087x;\P\H1.23236x; },-44,7,3
711,except for fiber\P\fArial|b0|i0;\H2.0000;Residue classification                                    acc. to table 01,-44,-32,3
712,\fArial|b0|i0;\H2.0000;Material:,-44,46,3
713,1.4021,-28,44,3
714,\fArial|b0|i0;\H2.0000;Quality standard:,-4,46,3
715,\fArial|b0|i0;\H2.0000;Raw part No:,-44,36,3
716,\fArial|b0|i0;\H2.0000;Surface/material treatment:,-44,41,3
717,\fArial|b0|i0;\H2.0000;Packaging:,-44,-52,3
718,\fArial|b0|i0;\H2.0000;16% - rule,-44,-12,3
719,EN 10095,21,44,3
720,Hardened to 48 HRC +2/-0,-9,38,3
721,-,-9,34,3
722,Rz 16,-34,21,3
723,"-0,2",18,25,3
724,"-0,05",18,21,3
725,"+0,4",34,21,3
726,not applicable,22,-14,3
727,5129275_Rev01.stp,-9,-23,3
728,-,14,-44,3
729,stored separately,-9,-54,4
730,\fArial|b0|i0;\H2.0000;All dimensions apply to the finished part including surface/material treatment.,-44,56,3
731,\fArial|b0|i0;\H2.0000;Surface texture:,-44,34,3
732,\fArial|b0|i0;\H1.4986;valid for machined surface,-44,13,3
733,\fArial|b0|i0;\H1.4986;valid for machined surface,15,13,3
734,\fArial|b0|i0;\H2.0000;Edge finish:,7,34,3
735,\fArial|b0|i0;\H2.0000;Nominal geometry (theoretically exact) defined by CAD file:,-44,-13,3
736,1302\H1.25429x; \H0.79726x;\PLimits according to:                                                     \H0.5x; \H2x; ISO 286-2\H1.25429x; \H0.79726x;\P\H1.23656x; \H0.8087x;\P\H1.23236x; },-44,10,3
737,except for fiber\P\fArial|b0|i0;\H2.0000;Residue classification                                    acc. to table 01,-44,-34,3
738,\fArial|b0|i0;\H2.0000;Material:,-44,49,3
739,1.4021,-33,46,3
740,\fArial|b0|i0;\H2.0000;Quality standard:,-4,49,3
741,\fArial|b0|i0;\H2.0000;Raw part No:,-44,39,3
742,\fArial|b0|i0;\H2.0000;Surface/material treatment:,-44,44,3
743,\fArial|b0|i0;\H2.0000;Packaging:,-44,-54,3
744,\fArial|b0|i0;\H2.0000;16% - rule,-44,-9,3
745,EN 10095,21,46,3
746,Hardened to 48 HRC +2/-0,-9,41,3
747,-,-9,36,3
748,Rz 16,-34,23,3
749,"-0,2",18,27,3
750,"-0,05",18,23,3
751,"+0,4",34,23,3
752,not applicable,22,-11,3
753,5129275_Rev01.stp,-15,-20,3
754,-,14,-47,3
755,-,-9,-57,4
756,\fArial|b0|i0;\H2.0000;Valid for all untoleranced dimensions:,-44,-24,3
757,\fArial|b0|i0;\H2.0000;All dimensions apply to the finished part including surface/material treatment.,-44,44,3
758,\fArial|b0|i0;\H2.0000;Surface texture:,-44,21,3
759,\fArial|b0|i0;\H1.4986;valid for machined surface,-44,1,3
760,\fArial|b0|i0;\H1.4986;valid for machined surface,15,1,3
761,\fArial|b0|i0;\H2.0000;Edge finish:,7,21,3
762,\fArial|b0|i0;\H2.0000;Nominal geometry (theoretically exact) defined by CAD file:,-44,-26,3
763,1302\H1.25429x; \H0.79726x;\PLimits according to:                                                     \H0.5x; \H2x; ISO 286-2\H1.25429x; \H0.79726x;\P\H1.23656x; \H0.8087x;\P\H1.23236x; },-44,-3,3
764,\fArial|b0|i0;\H2.0000;Material:,-44,36,3
765,1.4021,-33,34,3
766,\fArial|b0|i0;\H2.0000;Quality standard:,-4,36,3
767,\fArial|b0|i0;\H2.0000;Raw part No:,-44,26,3
768,\fArial|b0|i0;\H2.0000;Surface/material treatment:,-44,31,3
769,\fArial|b0|i0;\H2.0000;16% - rule,-44,-22,3
770,EN 10095,21,34,3
771,Hardened to 48 HRC +2/-0,-9,28,3
772,-,-9,24,3
773,Rz 16,-34,11,3
774,"-0,2",18,15,3
775,"-0,05",18,11,3
776,"+0,4",34,11,3
777,not applicable,22,-24,3
778,5129275_Rev01.stp,-15,-33,3
779,\fArial|b0|i0;\H2.0000;Valid for all untoleranced dimensions:,-44,-37,3
780,\fArial|b0|i0;\H2.0000;Cleanliness:,0,11,3
781,\fArial|b0|i0;\H2.0000;General tolerances according to:\fArial|b0|i0;\H2.5000;    ISO 2768 -,0,3,3
782,\fArial|b0|i0;\H2.0000;Packaging:,0,18,3
783,\fArial|b0|i0;\H2.0000;Surface texture:,0,42,3
784,\fArial|b0|i0;\H2.0000;Edge finish:,51,42,3
785,\fArial|b0|i0;\H1.4986;according to DIN ISO 13715,59,21,3
786,\fArial|b0|i0;\H2.0000;All dimensions apply to the finished part including surface/material treatment.,0,55,3
787,\fArial|b0|i0;\H2.0000;Corresponding CAD-file:,0,49,3
788,\fArial|b0|i0;\H1.4986;according to DIN ISO 1302,1,21,3
789,\fArial|b0|i0;\H2.0000;Cleanliness:,0,11,3
790,\fArial|b0|i0;\H2.0000;General tolerances according to:\fArial|b0|i0;\H2.5000;    ISO 2768 -,0,3,3
791,\fArial|b0|i0;\H2.0000;Packaging:,0,18,3
792,\fArial|b0|i0;\H2.0000;Surface texture:,0,42,3
793,\fArial|b0|i0;\H2.0000;Edge finish:,51,42,3
794,\fArial|b0|i0;\H1.4986;according to DIN ISO 13715,59,21,3
795,\fArial|b0|i0;\H2.0000;All dimensions apply to the finished part including surface/material treatment.,0,55,3
796,\fArial|b0|i0;\H2.0000;Corresponding CAD-file:,0,49,3
797,\fArial|b0|i0;\H1.4986;according to DIN ISO 1302,1,21,3
798,3865240_Rev03.stp,37,45,3
799,Rz 16,10,31,3
800,"-0,2",62,35,3
801,"-0,05",62,31,3
802,"+0,4",78,31,3
803,stored separately,38,14,3
804,ultrasonically cleaned and degreased,23,7,3
805,mH,62,1,3
806,"\fArial|b0|i0;\H2.0000;0,4",-22,2,3
807,\fArial|b0|i0;\H2.0000;A1,36,2,3
808,"\fArial|b0|i0;\H2.0000;≤ 0,4",22,-10,3
809,"\fArial|b0|i0;\H2.0000;≤ 0,2",22,2,3
810,"\fArial|b0|i0;\H2.0000;8,0",1,2,3
811,"\fArial|b0|i0;\H2.0000;8,0",1,14,3
812,"\fArial|b0|i0;\H2.0000;15,0",1,-10,3
813,"\fArial|b0|i0;\H2.0000;0,7",-22,-10,3
814,{\H0.57143x;General tolerances according to: \P\H0.81496x; \H0.12271x;\P\H12.5x;DIN EN ISO 8062-3 - DCTG\H1.11277x; },-44,39,3
815,\fArial|b0|i0;\H2.0000;A3,36,-22,3
816,\fArial|b0|i0;\H2.0000;A4,36,-34,3
817,\fArial|b0|i0;\H2.0000;A2,36,-10,3
818,\fArial|b0|i0;\H2.0000;-,36,15,3
819,\fArial|b0|i0;\H2.0000;Exceptions,36,24,3
820,\fArial|b0|i0;\H2.0000;Cleanliness:,-44,46,3
821,\fArial|b0|i0;\H1.4986;according to DIN ISO 1302,-43,71,5
822,\fArial|b0|i0;\H2.0000;General mold drafts:,-44,67,5
823,\fArial|b0|i0;\H2.0000;Packaging:,-44,53,3
824,\fArial|b0|i0;\H2.0000;Edge finish:,7,91,6
825,\fArial|b0|i0;\H2.0000;General pore class:,7,67,3
826,\fArial|b0|i0;\H2.0000;Surface texture:,-44,91,7
827,"\fArial|b0|i0;\H2.0000;This is an auxiliary drawing, the missing dimensions have to be sourced from the corresponding CAD-file:",-44,101,8
828,\fArial|b0|i0;\H2.0000;All dimensions apply to the finished part including surface/material treatment.,-44,108,8
829,\fArial|b0|i0;\H2.5000;2,-38,2,3
830,\fArial|b0|i0;\H2.5600;3,-38,-10,3
831,"\fArial|b0|i0;\H2.0000;≤ 0,6",22,-22,3
832,"\fArial|b0|i0;\H2.0000;30,0",1,-22,3
833,"\fArial|b0|i0;\H2.0000;1,0",-22,-22,3
834,"\fArial|b0|i0;\H2.0000;2,0",-22,-34,3
835,\fArial|b0|i0;\H2.0000;Pore\P\fArial|b0|i0;\H2.0000;class,-38,24,3
836,\fArial|b0|i0;\H2.5000;1,-38,14,3
837,"\fArial|b0|i0;\H2.0000;0,4",-22,14,3
838,"\fArial|b0|i0;\H2.0000;≤ 1,0",22,-34,3
839,"\fArial|b0|i0;\H2.0000;≤ 0,2",22,14,3
840,\fArial|b0|i0;\H2.5000;4,-38,-22,3
841,\fArial|b0|i0;\H2.5000;5,-38,-34,3
842,"\fArial|b0|i0;\H2.0000;30,0",1,-34,3
843,P  distance to other pores of 5 mm.},-42,-42,3
844,\fArial|b0|i0;\H2.0000;Min. distance between\P\fArial|b0|i0;\H2.0000;pores [mm],1,24,3
845,\fArial|b0|i0;\H2.0000;Casting defects:,-44,31,3
846,\fArial|b0|i0;\H2.0000;Max. size of\P\fArial|b0|i0;\H2.0000;pores [mm],-22,24,3
847,\fArial|b0|i0;\H2.0000;|X| [mm],22,24,3
848,\fArial|b0|i0;\H1.4986;according to DIN ISO 13715,15,71,3
849,"\fArial|b0|i0;\H2.0000;0,4",-22,2,3
850,\fArial|b0|i0;\H2.0000;A1,36,2,3
851,"\fArial|b0|i0;\H2.0000;≤ 0,4",22,-10,3
852,"\fArial|b0|i0;\H2.0000;≤ 0,2",22,2,3
853,"\fArial|b0|i0;\H2.0000;8,0",1,2,3
854,"\fArial|b0|i0;\H2.0000;8,0",1,14,3
855,"\fArial|b0|i0;\H2.0000;15,0",1,-10,3
856,"\fArial|b0|i0;\H2.0000;0,7",-22,-10,3
857,{\H0.57143x;General tolerances according to: \P\H0.81496x; \H0.12271x;\P\H12.5x;DIN EN ISO 8062-3 - DCTG\H1.11277x; },-44,39,3
858,\fArial|b0|i0;\H2.0000;A3,36,-22,3
859,\fArial|b0|i0;\H2.0000;A4,36,-34,3
860,\fArial|b0|i0;\H2.0000;A2,36,-10,3
861,\fArial|b0|i0;\H2.0000;-,36,15,3
862,\fArial|b0|i0;\H2.0000;Exceptions,36,24,3
863,\fArial|b0|i0;\H2.0000;Cleanliness:,-44,46,3
864,\fArial|b0|i0;\H1.4986;according to DIN ISO 1302,-43,71,5
865,\fArial|b0|i0;\H2.0000;General mold drafts:,-44,67,5
866,\fArial|b0|i0;\H2.0000;Packaging:,-44,53,3
867,\fArial|b0|i0;\H2.0000;Edge finish:,7,91,6
868,\fArial|b0|i0;\H2.0000;General pore class:,7,67,3
869,\fArial|b0|i0;\H2.0000;Surface texture:,-44,91,7
870,"\fArial|b0|i0;\H2.0000;This is an auxiliary drawing, the missing dimensions have to be sourced from the corresponding CAD-file:",-44,101,8
871,\fArial|b0|i0;\H2.0000;All dimensions apply to the finished part including surface/material treatment.,-44,108,8
872,\fArial|b0|i0;\H2.5000;2,-38,2,3
873,\fArial|b0|i0;\H2.5600;3,-38,-10,3
874,"\fArial|b0|i0;\H2.0000;≤ 0,6",22,-22,3
875,"\fArial|b0|i0;\H2.0000;30,0",1,-22,3
876,"\fArial|b0|i0;\H2.0000;1,0",-22,-22,3
877,"\fArial|b0|i0;\H2.0000;2,0",-22,-34,3
878,\fArial|b0|i0;\H2.0000;Pore\P\fArial|b0|i0;\H2.0000;class,-38,24,3
879,\fArial|b0|i0;\H2.5000;1,-38,14,3
880,"\fArial|b0|i0;\H2.0000;0,4",-22,14,3
881,"\fArial|b0|i0;\H2.0000;≤ 1,0",22,-34,3
882,"\fArial|b0|i0;\H2.0000;≤ 0,2",22,14,3
883,\fArial|b0|i0;\H2.5000;4,-38,-22,3
884,\fArial|b0|i0;\H2.5000;5,-38,-34,3
885,"\fArial|b0|i0;\H2.0000;30,0",1,-34,3
886,P  distance to other pores of 5 mm.},-42,-42,3
887,\fArial|b0|i0;\H2.0000;Min. distance between\P\fArial|b0|i0;\H2.0000;pores [mm],1,24,3
888,\fArial|b0|i0;\H2.0000;Casting defects:,-44,31,3
889,\fArial|b0|i0;\H2.0000;Max. size of\P\fArial|b0|i0;\H2.0000;pores [mm],-22,24,3
890,\fArial|b0|i0;\H2.0000;|X| [mm],22,24,3
891,\fArial|b0|i0;\H1.4986;according to DIN ISO 13715,15,71,3
892,\fArial|b0|i0;\H6.0000;TBD,-9,3,3
893,\fArial|b0|i0;\H2.0000;Cleanliness:,1,27,3
894,"\fArial|b0|i0;\H2.0000;Concepts, principales and rules according to:^IISO 8015\P\fArial|b0|i0;\H2.0000;Dimensions according to:^I^I^IISO 14405 1-3",1,20,3
895,\fArial|b0|i0;\H2.0000;Packaging:,1,34,3
896,\fArial|b0|i0;\H2.0000;Surface texture:,0,58,3
897,\fArial|b0|i0;\H2.0000;Edge finish:,51,58,3
898,\fArial|b0|i0;\H1.4986;according to DIN ISO 13715,59,38,3
899,\fArial|b0|i0;\H2.0000;All dimensions apply to the finished part including surface/material treatment.,0,65,3
900,\fArial|b0|i0;\H1.4986;according to DIN ISO 1302,1,38,3
901,\fArial|b0|i0;\H2.0000;Nominal geometry (theoretically exact) defined by CAD file:,1,13,3
902,\fArial|b0|i0;\H2.0000;unless otherwise specified within the drawing,14,3,3
903,\fArial|b0|i0;1,8,5,3
904,\fArial|b0|i0;\H2.0000;Cleanliness:,1,27,3
905,"\fArial|b0|i0;\H2.0000;Concepts, principales and rules according to:^IISO 8015\P\fArial|b0|i0;\H2.0000;Dimensions according to:^I^I^IISO 14405 1-3",1,20,3
906,\fArial|b0|i0;\H2.0000;Packaging:,1,34,3
907,\fArial|b0|i0;\H2.0000;Surface texture:,0,58,3
908,\fArial|b0|i0;\H2.0000;Edge finish:,51,58,3
909,\fArial|b0|i0;\H1.4986;according to DIN ISO 13715,59,38,3
910,\fArial|b0|i0;\H2.0000;All dimensions apply to the finished part including surface/material treatment.,0,65,3
911,\fArial|b0|i0;\H1.4986;according to DIN ISO 1302,1,38,3
912,\fArial|b0|i0;\H2.0000;Nominal geometry (theoretically exact) defined by CAD file:,1,13,3
913,\fArial|b0|i0;\H2.0000;unless otherwise specified within the drawing,14,3,3
914,\fArial|b0|i0;1,8,5,3
915,xvcxv,1,-6,3
916,"-0,05",1,2,3
917,Kantenbruch,-29,-6,3
918,"-0,1",-10,2,3
919,1,-1,-2,3
920,\fArial|b1|i0;\H2.0000;Angelehnt an HN810,1,-2,3
921,\fArial|b1|i0;\H2.0000;Losgröße (Stk.),12,-6,3
922,\fArial|b1|i0;\H2.0000;von,6,-10,3
923,\fArial|b1|i0;\H2.0000;bis,18,-10,3
924,\fArial|b1|i0;\H2.0000;Stichprobengröße (Stk.),36,-8,3
925,\fArial|b0|i0;\H2.0000;9,6,-14,3
926,\fArial|b0|i0;\H2.0000;15,18,-14,3
927,\fArial|b0|i0;\H2.0000;Vollprüfung,36,-14,3
928,\fArial|b0|i0;\H2.0000;16,6,-18,3
929,\fArial|b0|i0;\H2.0000;26,6,-22,3
930,\fArial|b0|i0;\H2.0000;51,6,-26,3
931,\fArial|b0|i0;\H2.0000;25,18,-18,3
932,\fArial|b0|i0;\H2.0000;50,18,-22,3
933,\fArial|b0|i0;\H2.0000;90,18,-26,3
934,\fArial|b0|i0;\H2.0000;13,36,-18,3
935,\fArial|b0|i0;\H2.0000;13,36,-22,3
936,\fArial|b0|i0;\H2.0000;13,36,-26,3
937,\fArial|b0|i0;\H2.0000;150,18,-30,3
938,\fArial|b0|i0;\H2.0000;91,6,-30,3
939,\fArial|b0|i0;\H2.0000;13,36,-30,3
940,\fArial|b0|i0;\H2.0000;280,18,-34,3
941,\fArial|b0|i0;\H2.0000;151,6,-34,3
942,\fArial|b0|i0;\H2.0000;50,36,-34,3
943,\fArial|b0|i0;\H2.0000;500,18,-38,3
944,\fArial|b0|i0;\H2.0000;281,6,-38,3
945,\fArial|b0|i0;\H2.0000;50,36,-38,3
946,\fArial|b0|i0;\H2.0000;1200,18,-42,3
947,\fArial|b0|i0;\H2.0000;501,6,-42,3
948,\fArial|b0|i0;\H2.0000;80,36,-42,3
949,\fArial|b0|i0;\H2.0000;3200,18,-46,3
950,\fArial|b0|i0;\H2.0000;1201,6,-46,3
951,\fArial|b0|i0;\H2.0000;125,36,-46,3
952,\fArial|b0|i0;\H2.0000;1000,18,-50,3
953,\fArial|b0|i0;\H2.0000;3201,6,-50,3
954,\fArial|b0|i0;\H2.0000;200,36,-50,3
955,\fArial|b0|i0;\H6.0000;Wareneingangszeichnung,-49,3,3
956,\fArial|b0|i0;1,0,0,3
957,\fArial|b0|i0;\H2.2000;Only for inquiry,0,-2,3
958,LKA,-17,0,3
959,24.10.2017,-1,0,3
960,\fArial|b0|i0;\H2.2000;Prototype release      -Sample,0,-2,3
961,HUM,-17,0,3
962,15.11.2017,-1,0,3
963,B4,4,-5,3
964,\fArial|b0|i0;\H2.2000;Incoming inspection release,0,-2,3
965,LKA,-17,0,3
966,11.01.2018,-1,0,3
967,\fArial|b0|i0;\H2.2000;Design Freeze Release      -Sample,0,-2,3
968,HUM,-17,0,3
969,11.07.2018,-1,0,3
970,B1,8,-5,3
971,\fArial|b0|i0;\H2.2000;Ready for production release,0,-2,3
972,\fArial|b0|i0;\H2.2000;Equipment release,0,-2,3
973,Freigabe für A-Sample Bestellung,-40,7,3
974,\fArial|b0|i0;\H2.5000;Projektleiter,15,3,3
975,Gerhard Ranegger,14,-3,3
976,Matthias Huschenbett,14,-12,3
977,\fArial|b0|i0;\H2.5000;Techn. Projektleiter,15,-6,3
978,\fArial|b0|i0;\H2.2000;Production release,0,-2,3
979,\fArial|b0|i0;\H2.0000;All dimensions apply to the finished part including surface/material treatment.,-43,52,3
980,\fArial|b0|i0;\H2.0000;Surface texture:,-43,30,3
981,\fArial|b0|i0;\H1.4986;according to DIN ISO 1302,-43,9,3
982,\fArial|b0|i0;\H1.4986;according to DIN ISO 13715,15,9,3
983,\fArial|b0|i0;\H2.0000;Edge finish:,8,30,3
984,\fArial|b0|i0;\H2.0000;Nominal geometry (theoretically exact) defined by CAD file:,-43,-17,3
985,1302\H1.25429x; \H0.79726x;\PLimits according to:                                                     \H0.5x; \H2x; ISO 286-2\H1.25429x; \H0.79726x;\P\H1.23656x; \H0.8087x;\P\H1.23236x; },-43,6,3
986,\fArial|b0|i0;\H2.0000;Material:,-43,45,3
987,1.4021,-32,42,3
988,\fArial|b0|i0;\H2.0000;Quality standard:,-3,45,3
989,\fArial|b0|i0;\H2.0000;Raw part No:,-43,35,3
990,\fArial|b0|i0;\H2.0000;Surface/material treatment:,-43,40,3
991,\fArial|b0|i0;\H2.0000;16% - rule,-43,-13,3
992,\fArial|b0|i0;\H2.0000;Valid for all untoleranced dimensions:,-43,-28,3
993,"{\H0.57143x;Cleanliness:\P\H0.15x;\P\H7.66667x;Part has to be degreased and free of deposits, detachable burrs and visual detectable particles.}",-43,-38,3
994,\fArial|b0|i0;\H2.0000;Delivery conditions:,-43,-50,3
995,\fArial|b0|i0;\H1.4986;valid for machined surface,-43,11,3
996,EN 10095,22,42,3
997,Hardened to 48 HRC +2/-0,-8,37,3
998,-,-8,32,3
999,Rz 16,-33,19,3
1000,"-0,2",18,23,3
1001,"-0,05",18,19,3
1002,"+0,2",32,19,3
1003,not applicable,23,-15,3
1004,5129275_Rev01.stp,-15,-24,3
1005,tbd,-14,-53,4
